country,year,headcount_ratio_international_povline,gini,welfare_type,p90_p10_ratio,decile8_thr,decile9_thr
Albania,1996,0.920669007,0.19219501998770222,consumption,0.00047665816810603867,8.85,10.92
Albania,2002,1.570843359,0.2907830857139884,consumption,0.0006187969797310901,8.83,11.58
Albania,2005,0.860527113,0.2669457532125972,consumption,0.0005818899812017706,10.02,12.78
Albania,2008,0.313649581,0.254207230732784,consumption,0.0004787952295440541,10.74,13.62
Albania,2012,0.849754448,0.23285383018975042,consumption,0.0004988912170457744,10.52,13.26
Albania,2014,1.58089717,0.35040991008004646,consumption,0.0010321077286205016,11.74,15.78
Albania,2015,0.245097908,0.31193979957181034,consumption,0.0008333837627566617,13.8,18.26
Albania,2016,0.410364223,0.33242548154086976,consumption,0.000947957098994064,14.78,19.18
Albania,2016,6.681603985,0.4331131856587123,income,0.0016520265566114505,11.88,16.02
Albania,2017,0.428475456,0.31823480136154275,consumption,0.0008458315612778356,14.54,18.82
Albania,2017,6.07382075,0.4024541810592152,income,0.0015356918253092407,12.28,16.44
Albania,2018,0.12077233,0.257618386816247,consumption,0.0007160713065693337,15.28,19.3
Albania,2018,4.566242859,0.3793872099538566,income,0.0013155822779851957,12.78,17.02
Albania,2019,0.0,0.27061693986040963,consumption,0.0006749181164234295,17.6,22.82
Algeria,1988,6.250912528,0.467082002806779,consumption,0.0010146384688587604,8.27,11.22
Algeria,1995,5.624111328,0.36565392670629077,consumption,0.0010301598838516125,8.66,11.68
Algeria,2011,0.449365234,0.20481686229991408,consumption,0.00040100352644949666,10.6,13.4
Angola,2000,36.37447784,0.7123093244366743,consumption,0.003467684317872122,5.36,8.06
Angola,2008,34.44685654,0.5196344842593568,consumption,0.0016097815004658617,5.07,6.98
Angola,2018,49.9029542,0.6980322182873027,consumption,0.0026848916322170465,4.07,5.97
Argentina,1980,0.479876709,0.48034104509653036,income,0.0017357155560465969,32.15,44.9
Argentina,1986,1.224447897,0.5215812108352418,income,0.0016819359874001797,33.65,49.15
Argentina,1987,1.430374652,0.5730260458972627,income,0.002132916826474679,30.85,45.2
Argentina,1991,1.281598375,0.6039948062772713,income,0.0018797008970879033,21.54,30.95
Argentina,1992,2.461977923,0.5770233882648039,income,0.0020351217139748558,22.56,33.5
Argentina,1993,2.818199472,0.5642677319557907,income,0.0021667554268705986,22.92,33.05
Argentina,1994,2.67456148,0.5863786216313522,income,0.002203268442936189,22.06,32.35
Argentina,1995,4.924876661,0.6486675276641707,income,0.0028273353871978053,20.96,32.95
Argentina,1996,5.302168673,0.6615945431143311,income,0.0030254871941054755,21.08,31.6
Argentina,1997,4.82075694,0.6529639510488376,income,0.0030923410698452812,22.16,34.05
Argentina,1998,5.575853883,0.6868056321819631,income,0.0033187806857368587,20.8,32.4
Argentina,1999,5.529384974,0.6671740251049252,income,0.003313624327337412,20.44,31.3
Argentina,2000,6.791716882,0.6936923953177452,income,0.0036349452231834068,20.02,30.85
Argentina,2001,10.67957348,0.7412106938011591,income,0.004921512881129618,18.66,29.38
Argentina,2002,16.94100342,0.7506064099568992,income,0.004453384419140919,12.66,19.88
Argentina,2003,7.86846218,0.6902147429640821,income,0.0034247695482201444,18.48,27.44
Argentina,2004,5.741770816,0.6376723399892792,income,0.003148786000967335,20.28,29.92
Argentina,2005,4.169149867,0.6237100934916626,income,0.002963468385615184,22.16,32.05
Argentina,2006,3.261263303,0.5953286685006522,income,0.002722138694764442,24.3,34.9
Argentina,2007,2.605010519,0.5917316964773474,income,0.0025645106640479563,25.12,36.2
Argentina,2008,2.486261278,0.564695231210413,income,0.0024897885037992017,26.0,36.7
Argentina,2009,2.342289292,0.5392052034868013,income,0.0023702574575972684,27.1,37.7
Argentina,2010,1.442093077,0.5377253581197559,income,0.0022018437213537517,27.42,38.75
Argentina,2011,1.13540051,0.5181701569126003,income,0.0020516589958223244,29.24,41.25
Argentina,2012,1.155553782,0.4906684074815047,income,0.0018599366232248831,29.26,40.1
Argentina,2013,1.015866253,0.48272997583058436,income,0.001876259436905823,29.4,40.35
Argentina,2014,0.928841201,0.4970605892314272,income,0.001864548465673244,27.6,38.2
Argentina,2016,1.07087745,0.5053948064991063,income,0.0019178730851931673,28.62,39.75
Argentina,2017,0.918538222,0.4866714278891254,income,0.001816820866228943,30.15,41.3
Argentina,2018,1.369831455,0.491008259006054,income,0.001873786283338774,27.24,37.65
Argentina,2019,1.300301202,0.5236028150385166,income,0.0020543147299793775,26.6,36.9
Argentina,2020,1.640418985,0.5118739333628397,income,0.002054980000977357,23.64,32.6
Armenia,1996,14.21614258,0.5551428337131812,income,0.0015654928475425495,7.68,11.08
Armenia,1999,12.21169123,0.38420278752931775,consumption,0.0007211911082252551,5.71,7.61
Armenia,2001,14.36108622,0.3663691504475382,consumption,0.0007989537266968728,5.39,7.56
Armenia,2002,10.51450637,0.35417897304956675,consumption,0.0006609043973599847,5.54,7.71
Armenia,2003,7.851497504,0.31765986944714336,consumption,0.0004868359226898463,5.61,7.34
Armenia,2004,5.475655956,0.41101287692537397,consumption,0.0006975797051301967,6.9,9.55
Armenia,2005,2.685916932,0.3794622981576334,consumption,0.0005817007569196837,7.55,10.3
Armenia,2006,2.142006431,0.2484802702142887,consumption,0.00045538181463262257,7.81,9.82
Armenia,2007,1.628520611,0.28008910983907037,consumption,0.0005929753622619888,8.86,11.48
Armenia,2008,0.892808486,0.23760028658737414,consumption,0.0004465800074705355,8.96,11.42
Armenia,2009,1.334730108,0.2131595755950924,consumption,0.0004278597763744394,7.99,10.18
Armenia,2010,0.974466365,0.2543721871008144,consumption,0.00044997750107636167,7.91,10.3
Armenia,2011,1.208877421,0.2410363115336624,consumption,0.0004669388711853169,8.29,10.48
Armenia,2012,0.916995521,0.24623432918673543,consumption,0.0004461689643626562,8.39,10.72
Armenia,2013,1.76707741,0.26661232322539713,consumption,0.0005357576589129903,8.9,11.48
Armenia,2014,1.541668061,0.28545218602099537,consumption,0.000536050432259487,8.93,11.52
Armenia,2015,1.260682075,0.30366352208430497,consumption,0.0005169922320935869,9.44,11.94
Armenia,2016,1.162991091,0.3076493911661213,consumption,0.0006515647636166563,10.62,13.2
Armenia,2017,0.880793161,0.3300390610441431,consumption,0.0005068189518542046,9.58,12.32
Armenia,2018,1.409536816,0.346961486145896,consumption,0.0005511693829126465,9.44,12.26
Armenia,2019,1.078998859,0.251987561715665,consumption,0.00042757666041419386,8.68,11.0
Armenia,2020,0.388134611,0.1538617903858261,consumption,0.00025524126440283124,8.33,10.28
Australia,1981,0.993503051,0.2821683681892018,income,0.0007532544590066568,48.15,61.85
Australia,1985,1.001309756,0.30660144839359454,income,0.000816761258316614,49.65,65.45
Australia,1989,0.744274977,0.3202816038441692,income,0.0008341811622182588,50.85,66.45
Australia,1995,0.749782267,0.3083591378363894,income,0.000769235276361766,46.25,60.65
Australia,2001,0.747411616,0.32676491721666784,income,0.0007985089405264055,53.95,70.0
Australia,2003,0.997330711,0.3275096153973655,income,0.0007892816989930238,55.7,72.0
Australia,2004,0.499275906,0.31827122065193775,income,0.0007204460257192883,59.25,77.6
Australia,2008,0.36123244,0.3677066086484381,income,0.0008184491436743877,74.05,97.05
Australia,2010,0.349168412,0.3516156391988687,income,0.0008018294356130951,75.05,97.65
Australia,2014,0.498483803,0.34625123284135,income,0.0007498131739226642,77.5,102.5
Australia,2016,0.498741779,0.33137284562529984,income,0.0007648367469862214,77.95,100.0
Australia,2018,0.497093972,0.3448820860215634,income,0.0008152472619704276,76.95,101.4
Austria,1987,0.0,0.1095104565186823,income,0.00022521035498993067,55.5,65.65
Austria,1994,0.248399214,0.28209654913171184,income,0.0005576026551930243,62.35,77.8
Austria,1995,0.994031531,0.276611693080771,income,0.0008003089890132281,56.25,69.0
Austria,1997,0.209077565,0.25931908719998215,income,0.0005876775820505959,60.2,76.7
Austria,2000,0.241608771,0.23028149367727507,income,0.0004995174297506655,62.95,78.8
Austria,2003,0.332203258,0.24339501934388047,income,0.0005072345315943667,64.1,80.6
Austria,2004,0.081652888,0.25012745709180867,income,0.0005056913682668514,67.4,85.25
Austria,2005,0.153690105,0.22774471955524328,income,0.00045803441398022896,65.5,80.7
Austria,2006,0.090110007,0.24592829497900576,income,0.0004749662589526749,66.15,82.75
Austria,2007,0.372291729,0.26661925973668316,income,0.0006104259515845088,69.1,89.15
Austria,2008,0.47116702,0.26364596076418995,income,0.0005622658605546659,69.15,88.15
Austria,2009,0.65623472,0.28572200942980247,income,0.0006315181198635047,71.65,92.05
Austria,2010,0.490702532,0.2597863103348364,income,0.0005849150401360582,74.4,93.0
Austria,2011,0.41540423,0.271240948582492,income,0.0005989064200054796,73.45,92.4
Austria,2012,0.616917369,0.26445765976445096,income,0.000625315616135901,71.65,89.8
Austria,2013,0.337997855,0.2702290227118184,income,0.000560356770252539,74.0,92.9
Austria,2014,0.224260216,0.26569536939022115,income,0.0005605034789194058,72.6,90.7
Austria,2015,0.67719302,0.26563474423988315,income,0.0005737155947829649,72.75,90.3
Austria,2016,0.664063548,0.2711451530056786,income,0.0005874042016824667,76.6,95.35
Austria,2017,0.31808962,0.24905571084788053,income,0.0005639979512588142,75.35,94.15
Austria,2018,0.56835837,0.2722233895891419,income,0.0005899793132052116,76.3,96.0
Austria,2019,0.640638887,0.25893750819215117,income,0.0005975766925962777,78.7,98.5
Azerbaijan,1995,7.080844425,0.35148132065270404,consumption,0.0008502194529254623,7.73,10.04
Azerbaijan,2001,2.582734896,0.38910675923432286,consumption,0.0008420483822969339,9.05,12.44
Azerbaijan,2002,0.042838097,0.1560702071181807,consumption,0.0001885327238826367,10.68,13.68
Azerbaijan,2003,0.0,0.18849504483738383,consumption,0.0002684958643916376,11.36,14.42
Azerbaijan,2004,0.0,0.18408992442359268,consumption,0.0002254619650598011,11.38,14.64
Azerbaijan,2005,0.0,0.1826996032098714,consumption,0.00022756549659811798,12.78,16.58
Bangladesh,1983,38.80491799,0.16855517060894715,consumption,0.0003082524818760076,3.03,3.76
Bangladesh,1985,34.18285156,0.19025927465766718,consumption,0.00029769931837546923,3.28,4.15
Bangladesh,1988,43.22452977,0.23047832630651738,consumption,0.0004092784831889523,3.03,3.88
Bangladesh,1991,43.47000143,0.20388020810551294,consumption,0.0003502700080913648,3.0,3.78
Bangladesh,1995,35.0381327,0.3158855236206202,consumption,0.0005202697167226338,3.58,4.84
Bangladesh,2000,34.22189767,0.32555010412439417,consumption,0.0005973117487723936,3.76,5.21
Bangladesh,2005,25.1178424,0.32127105016429097,consumption,0.0005748382067611642,4.15,5.74
Bangladesh,2010,19.17757704,0.2989421826543585,consumption,0.0005550036984942803,4.5,6.11
Bangladesh,2016,14.32454636,0.30425773737498446,consumption,0.0005659243305939018,4.97,6.62
Belarus,1993,0.089329834,0.07947154725633104,income,0.00015559866740627235,8.49,10.22
Belarus,1995,0.723968506,0.22870998294948403,income,0.000508065503519031,13.6,16.76
Belarus,1998,11.7964026,0.2966077119778043,consumption,0.0007028304898452457,5.88,7.6
Belarus,1999,10.6027682,0.29076575590280435,consumption,0.000753126324232832,6.39,8.08
Belarus,2000,7.331884927,0.2788678772943622,consumption,0.0006762950611429563,6.95,8.83
Belarus,2001,3.223238509,0.2665510371570918,consumption,0.0006031991057011551,8.57,10.78
Belarus,2002,2.124368982,0.2615372446539263,consumption,0.0005852208825131745,9.34,11.88
Belarus,2003,1.444169471,0.22994594124688633,consumption,0.0005367672782955063,9.78,12.2
Belarus,2004,0.320860368,0.18113544597631098,consumption,0.0004051648107192688,10.78,13.28
Belarus,2005,0.372049536,0.2035175392742266,consumption,0.0004648426141766605,13.38,16.4
Belarus,2006,0.107735535,0.21857129700735262,consumption,0.0005083827210430889,15.24,19.18
Belarus,2007,0.083754151,0.24644529128306086,consumption,0.0005392765619342574,17.6,22.46
Belarus,2008,0.0,0.2092017235973342,consumption,0.00044431271665646755,18.18,22.38
Belarus,2009,0.028866528,0.2063508466475918,consumption,0.0004289371708285812,18.08,22.78
Belarus,2010,0.0,0.2246416679998306,consumption,0.0005072056265680827,20.76,26.22
Belarus,2011,0.0,0.19515997096164134,consumption,0.0004315661744976622,21.4,26.2
Belarus,2012,0.0,0.18210105129656634,consumption,0.000365912598228105,23.32,28.88
Belarus,2013,0.0,0.18311960511114683,consumption,0.0003461150394642922,25.78,31.85
Belarus,2014,0.0,0.19566275023219487,consumption,0.00037488062330609355,26.88,33.4
Belarus,2015,0.0,0.16348333199495707,consumption,0.0003446342591562114,24.48,30.15
Belarus,2016,0.0,0.15667378993071418,consumption,0.00029915406166705714,23.24,28.54
Belarus,2017,0.0,0.1595500090189242,consumption,0.00030821721033860694,24.0,29.74
Belarus,2018,0.0,0.1552958531104523,consumption,0.0002890810586493515,25.84,31.9
Belarus,2019,0.0,0.15607399123840443,consumption,0.0002861232688708697,27.0,33.5
